,driver_standings)_id,race_id,driver_id,points,position,position_text,wins
1022,13127,67,31,26.0,7,7,0
1023,13126,67,18,40.0,6,6,1
1024,13125,67,8,57.0,5,5,0
1025,13124,67,30,106.0,2,2,6
1026,13123,67,4,108.0,1,1,6
1027,13174,68,29,0.0,27,27,0
1028,13173,68,38,0.0,24,24,0
1029,13172,68,9,6.0,16,16,0
1030,13171,68,37,18.0,10,10,0
1031,13170,68,36,0.0,26,26,0
1032,13169,68,34,0.0,25,25,0
1033,13168,68,27,0.0,22,22,0
1034,13167,68,35,7.0,15,15,0
1035,13166,68,21,63.0,3,3,1
1036,13165,68,11,0.0,23,23,0
1037,13164,68,33,0.0,21,21,0
1038,13163,68,15,12.0,13,13,0
1039,13162,68,22,28.0,7,7,0
1040,13161,68,23,18.0,11,11,0
1041,13160,68,26,0.0,20,20,0
1042,13159,68,2,22.0,9,9,0
1043,13158,68,24,1.0,19,19,0
1044,13157,68,14,14.0,12,12,0
1045,13156,68,13,62.0,4,4,1
1046,13155,68,32,2.0,18,18,0
1047,13154,68,3,4.0,17,17,0
1048,13153,68,17,7.0,14,14,0
1049,13152,68,31,26.0,8,8,0
1050,13151,68,18,45.0,6,6,1
1051,13150,68,8,57.0,5,5,0
1052,13149,68,30,116.0,1,1,7
1053,13148,68,4,116.0,2,2,6
1054,13201,69,29,0.0,27,27,0
1055,13200,69,38,0.0,24,24,0
1056,13199,69,9,6.0,16,16,0
1057,13198,69,37,18.0,11,11,0
1058,13197,69,36,0.0,26,26,0
1059,13196,69,34,0.0,25,25,0
1060,13195,69,27,0.0,22,22,0
1061,13194,69,35,7.0,15,15,0
1062,13193,69,21,69.0,4,4,1
1063,13192,69,11,0.0,23,23,0
1064,13191,69,33,0.0,21,21,0
1065,13190,69,15,15.0,12,12,0
1066,13189,69,22,28.0,7,7,0
1067,13188,69,23,20.0,10,10,0
1068,13187,69,26,0.0,20,20,0
1069,13186,69,2,23.0,9,9,0
1070,13185,69,24,1.0,19,19,0
1071,13184,69,14,14.0,13,13,0
1072,13183,69,13,70.0,3,3,1
1073,13182,69,32,2.0,18,18,0
1074,13181,69,3,4.0,17,17,0
